,Facility.Name,Facility.City,Facility.State,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging
289,California Pacific Medical Ctr - St. Luke's Campus,San Francisco,CA,Church,2,Same,Same,Below,Below,Same,Same,Same
290,Antelope Valley Hospital,Lancaster,CA,Government,1,Below,Below,Below,Below,Same,Below,Above
291,Kaweah Delta Medical Center,Visalia,CA,Government,3,Same,Above,Same,Below,Same,Below,Same
292,Glendale Mem Hospital & Hlth Center,Glendale,CA,Private,3,Above,Above,Below,Below,Same,Same,Same
293,Community Regional Medical Center,Fresno,CA,Private,2,Same,Below,Below,Below,Same,Below,Same
294,Hollywood Presbyterian Medical Center,Los Angeles,CA,Proprietary,1,Above,Below,Below,Below,Same,Same,Same
295,Oak Valley Hospital District,Oakdale,CA,Government,3,Same,,Above,Same,Same,Same,
296,St Joseph Hospital,Orange,CA,Church,3,Below,Below,Above,Above,Below,Below,Same
297,Kaiser Foundation Hospital - South San Francisco,South San Francisco,CA,Private,3,,Above,,Same,Same,,
298,Kaiser Foundation Hospital-santa Clara,Santa Clara,CA,Unknown,4,,Above,,Above,Same,,
299,Kaiser Foundation Hospital - Walnut Creek,Walnut Creek,CA,Unknown,3,,Same,,Below,Same,,
300,Kaiser Foundation Hospital And Rehab Center,Vallejo,CA,Unknown,3,Same,Same,Same,Same,Same,,
301,Kaiser Foundation Hospital - Oakland/richmond,Oakland,CA,Unknown,2,Same,Same,Below,Below,Same,,
302,Kaiser Foundation Hospital - San Francisco,San Francisco,CA,Unknown,3,,Same,,Below,Same,,
303,Scripps Mercy Hospital,San Diego,CA,Private,2,Same,Below,Below,Below,Same,Below,Same
304,Providence Little Co Of Mary Med Ctr San Pedro,San Pedro,CA,Private,4,Same,Above,Above,Same,Same,Below,Same
305,St Johns Regional Medical Center,Oxnard,CA,Private,4,Above,Same,Above,Below,Same,Below,Above
306,St Joseph's Medical Center Of Stockton,Stockton,CA,Church,2,Below,Same,Below,Below,Same,Below,Same
307,Community Hospital Of San Bernardino,San Bernardino,CA,Private,2,Same,Same,Below,Below,Same,Below,
308,Sonoma Valley Hospital,Sonoma,CA,Government,4,Same,Above,Above,Same,Same,Same,Same
309,Community Hospital Of Huntington Park,Huntington Park,CA,Proprietary,2,Same,,Same,Below,Below,Below,
310,Saint Agnes Medical Center,Fresno,CA,Church,2,Same,Above,Below,Below,Same,Below,Same
311,"West Covina Medical Center, Inc",West Covina,CA,Proprietary,-1,,,Above,,,,
312,San Antonio Regional Hospital,Upland,CA,Unknown,3,Above,Above,Below,Below,Same,Below,Same
313,Sharp Memorial Hospital,San Diego,CA,Private,4,Same,Same,Above,Above,Same,Same,Above
314,Sutter Solano Medical Center,Vallejo,CA,Private,2,Same,Below,Above,Below,Same,Below,Same
315,Parkview Community Hospital Medical Center,Riverside,CA,Private,1,Same,Below,Below,Below,Below,Below,
316,White Memorial Medical Center,Los Angeles,CA,Church,3,Above,Same,Same,Below,Same,Below,Same
317,Saint Francis Medical Center,Lynwood,CA,Church,2,Same,Below,Below,Below,Same,Below,Same
318,Marian Regional Medical Center,Santa Maria,CA,Church,4,Below,Above,Above,Same,Same,Same,Below
319,"Sutter Medical Center, Sacramento",Sacramento,CA,Private,4,Same,Same,Above,Same,Same,Below,Above
320,Lompoc Valley Medical Center,Lompoc,CA,Government,1,Same,Below,Below,Below,Same,Below,Below
321,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,Santa Monica,CA,Private,5,Above,Above,Below,Same,Same,Below,Same
322,San Mateo Medical Center,San Mateo,CA,Government,3,,Same,Same,Below,Same,Below,Same
323,Palomar Health Downtown Campus,Escondido,CA,Government,4,Same,Above,Above,Above,Same,Below,Above
324,Northridge Hospital Medical Center,Northridge,CA,Private,2,Above,Below,Below,Same,Same,Below,Above
325,Doctors Hospital Of Manteca,Manteca,CA,Unknown,2,Same,Above,Below,Same,Same,Same,Same
326,Adventist Health Hanford,Hanford,CA,Church,2,Same,Above,Below,Below,Below,Below,Below
327,Dameron Hospital,Stockton,CA,Unknown,2,Same,Below,Below,Below,Same,Below,Same
328,Usc Verdugo Hills Hospital,Glendale,CA,Private,2,Same,Below,Below,Below,Same,Same,Same
329,Regional Medical Center Of San Jose,San Jose,CA,Government,1,Same,Below,Below,Below,Same,Below,Above
330,Valley Presbyterian Hospital,Van Nuys,CA,Unknown,2,Above,Below,Same,Below,Below,Below,Same
331,Woodland Memorial Hospital,Woodland,CA,Unknown,2,Same,Same,Below,Same,Same,Same,Same
332,Tri-city Medical Center,Oceanside,CA,Government,2,Same,Below,Above,Below,Same,Below,Same
333,St Bernardine Medical Center,San Bernardino,CA,Private,1,Same,Below,Below,Below,Same,Below,Same
334,Novato Community Hospital,Novato,CA,Unknown,3,Same,Below,Below,Above,Same,Same,Same
335,San Gabriel Valley Medical Center,San Gabriel,CA,Proprietary,4,Above,Same,Below,Below,Same,Same,Same
336,Rideout Memorial Hospital,Marysville,CA,Government,1,Below,Below,Same,Below,Same,Below,Above
337,Southern California Hospital At Hollywood,Hollywood,CA,Proprietary,4,Above,Above,Above,Below,Below,Below,Same
338,Petaluma Valley Hospital,Petaluma,CA,Unknown,4,Same,Same,Above,Below,Same,Below,Same
339,Kaiser Foundation Hospital - Panorama City,Panorama City,CA,Private,3,,Same,,Below,Same,,
340,Kaiser Foundation Hospital - Los Angeles,Los Angeles,CA,Unknown,4,,Above,Above,Same,Same,,
341,Kaiser Foundation Hospital - Downey,Downey,CA,Unknown,3,,Same,,Below,Same,,
342,Kaiser Foundation Hospital Fontana,Fontana,CA,Private,3,Same,Same,Below,Above,Same,,
343,Community Hospital Of The Monterey Peninsula,Monterey,CA,Private,5,Same,Same,Above,Above,Same,Same,Above
344,California Hospital Medical Center La,Los Angeles,CA,Unknown,3,Same,Same,Below,Below,Same,Same,Same
345,Sierra Nevada Memorial Hospital,Grass Valley,CA,Unknown,3,Same,Below,Above,Below,Same,Below,Same
346,Saint Francis Memorial Hospital,San Francisco,CA,Private,3,Same,Above,Below,Below,Same,Below,Same
347,O'connor Hospital,San Jose,CA,Private,1,Same,Below,Below,Below,Same,Below,Above
348,Encino Hospital Medical Center,Encino,CA,Proprietary,3,Same,Above,Below,Below,Same,Same,
349,Ventura County Medical Center,Ventura,CA,Government,2,Same,Same,Same,Below,Same,Below,Same
350,San Joaquin General Hospital,French Camp,CA,Government,2,Same,Above,Same,Below,Same,Below,Same
351,St Jude Medical Center,Fullerton,CA,Church,5,Same,Above,Above,Above,Same,Below,Same
352,Pih Health Hospital-whittier,Whittier,CA,Private,4,Above,Above,Below,Above,Below,Below,Below
353,Santa Rosa Memorial Hospital,Santa Rosa,CA,Private,3,Same,Below,Above,Below,Same,Below,Above
354,Emanuel Medical Center,Turlock,CA,Church,1,Same,Below,Below,Below,Same,Below,Above
355,John Muir Medical Center - Walnut Creek Campus,Walnut Creek,CA,Unknown,4,Above,Above,Same,Same,Same,Same,Same
356,George L Mee Memorial Hospital,King City,CA,Unknown,3,Same,,Above,,Same,Same,
357,St Mary Medical Center,Long Beach,CA,Church,2,Same,Below,Below,Below,Same,Below,Same
358,Adventist Health Reedley,Reedley,CA,Private,3,,,Above,Below,Same,Below,Same
359,Watsonville Community Hospital,Watsonville,CA,Proprietary,2,Same,Same,Above,Below,Below,Below,Same
360,Washington Hospital,Fremont,CA,Government,2,Above,Same,Below,Below,Same,Below,Same
361,Sequoia Hospital,Redwood City,CA,Private,5,Above,Above,Above,Above,Same,Same,Same
362,Palmdale Regional Medical Center,Palmdale,CA,Proprietary,2,Same,Below,Same,Same,Same,Below,Above
363,East Valley Glendora Hospital,Glendora,CA,Proprietary,5,Same,,Above,,Same,Same,
364,Alameda Hospital,Alameda,CA,Government,2,Same,Same,Same,Below,Same,Same,Same
365,Sharp Chula Vista Medical Center,Chula Vista,CA,Proprietary,4,Above,Above,Below,Same,Same,Below,Above
366,Hoag Memorial Hospital Presbyterian,Newport Beach,CA,Private,4,Above,Above,Below,Above,Same,Same,Below
367,Adventist Health Feather River,Paradise,CA,Church,3,Same,Below,Above,Same,Same,Below,Same
368,Ahmc Anaheim Regional Medical Center,Anaheim,CA,Private,3,Same,Below,Same,Below,Same,Below,Same
369,Zuckerberg San Francisco General Hosp & Trauma Ctr,San Francisco,CA,Government,1,Same,Below,Same,Same,Below,Below,Same
370,Garden Grove Hospital & Medical Center,Garden Grove,CA,Proprietary,4,Above,Above,Above,Below,Same,Same,
371,Pomona Valley Hospital Medical Center,Pomona,CA,Private,2,Same,Above,Below,Below,Same,Below,Same
372,French Hospital Medical Center,San Luis Obispo,CA,Private,4,Below,Above,Above,Above,Same,Same,Below
373,Sharp Coronado Hospital And Hlthcr Ctr,Coronado,CA,Proprietary,4,Same,Above,Above,Above,Same,Same,Same
374,Providence Saint Joseph Medical Ctr,Burbank,CA,Church,2,Above,Below,Below,Same,Same,Below,Same
375,Adventist Health Simi Valley,Simi Valley,CA,Church,3,Same,Above,Below,Below,Above,Below,
376,Methodist Hospital Of Southern Ca,Arcadia,CA,Private,3,Above,Below,Above,Same,Same,Below,Above
377,Glendale Adventist Medical Center,Glendale,CA,Private,3,Above,Below,Below,Same,Same,Below,Below
378,Dominican Hospital,Santa Cruz,CA,Proprietary,3,Same,Same,Above,Below,Same,Below,Above
379,Desert Regional Medical Center,Palm Springs,CA,Proprietary,2,Same,Below,Above,Below,Same,Below,Same
380,Arrowhead Regional Medical Center,Colton,CA,Government,2,Same,Above,Below,Below,Same,Below,Same
381,Natividad Medical Center,Salinas,CA,Government,3,Same,Same,Same,Below,Same,Same,Same
382,Marshall Medical Center,Placerville,CA,Private,2,Same,Same,Below,Same,Below,Below,Below
383,Good Samaritan Hospital,Bakersfield,CA,Proprietary,2,Same,,Same,Below,,,
384,Sierra View Medical Center,Porterville,CA,Private,1,Below,Below,Above,Below,Same,Below,Below
385,Ronald Reagan U C L A Medical Center,Los Angeles,CA,Government,3,Above,Below,Below,Above,Same,Below,Below
386,Redlands Community Hospital,Redlands,CA,Government,4,Same,Below,Above,Same,Same,Below,Below
387,Contra Costa Regional Medical Center,Martinez,CA,Government,3,Same,Same,Above,Below,Same,Below,Same
388,Providence Holy Cross Medical Center,Mission Hills,CA,Church,3,Same,Below,Below,Above,Same,Below,Same
389,Hi-desert Medical Center,Joshua Tree,CA,Government,2,Same,Below,Same,Below,Same,Below,
390,Mercy Medical Center Redding,Redding,CA,Private,1,Below,Below,Above,Below,Same,Below,Above
391,Alhambra Hospital Medical Center,Alhambra,CA,Proprietary,4,Above,Above,Above,Below,Same,Above,
392,Stanford Health Care - Valleycare,Pleasanton,CA,Private,4,Same,Same,Above,Above,Same,Same,Same
393,Seton Medical Center,Daly City,CA,Church,3,Above,Below,Below,Same,Same,Below,Below
394,Providence Saint John's Health Center,Santa Monica,CA,Private,4,Above,Below,Above,Same,Same,Below,Above
395,Sutter Santa Rosa Regional Hospital,Santa Rosa,CA,Unknown,4,Same,Above,Above,Above,Same,Below,Above
396,Riverside University Health System-medical Center,Moreno Valley,CA,Government,1,Same,Below,Same,Below,Same,Below,Same
397,Mercy Hospital,Bakersfield,CA,Unknown,1,Same,Below,Below,Below,Same,Below,Above
398,Hazel Hawkins Memorial Hospital,Hollister,CA,Government,2,Same,Same,Below,Same,Below,Same,Below
399,Barstow Community Hospital,Barstow,CA,Proprietary,3,Same,,Same,Below,Same,Below,Same
400,St Mary Medical Center,Apple Valley,CA,Private,2,Above,Below,Below,Below,Below,Below,Same
401,Adventist Health Ukiah Valley,Ukiah,CA,Church,3,Same,Above,Above,Below,Same,Same,Same
402,Alta Bates Summit Medical Center - Alta Bates Camp,Berkeley,CA,Private,3,Same,Same,Above,Below,Same,Below,Same
403,El Camino Hospital,Mountain View,CA,Government,4,Same,Above,Above,Above,Same,Below,Same
404,Sutter Roseville Medical Center,Roseville,CA,Unknown,5,Below,Above,Above,Above,Same,Below,Above
405,Sutter Tracy Community Hospital,Tracy,CA,Private,4,Same,Above,Above,Same,Same,Same,Same
406,Kern Medical Center,Bakersfield,CA,Unknown,1,,Below,Below,Below,Below,Below,
407,Highland Hospital,Oakland,CA,Government,2,Same,Same,Above,Below,Below,Below,Same
408,Scripps Memorial Hospital La Jolla,La Jolla,CA,Unknown,5,Same,Above,Above,Above,Same,Same,Same
409,Loma Linda University Medical Center,Loma Linda,CA,Private,3,Same,Above,Below,Same,Same,Below,Below
410,Corona Regional Medical Center,Corona,CA,Proprietary,2,Same,Same,Below,Below,Same,Below,Below
411,Salinas Valley Memorial Hospital,Salinas,CA,Unknown,3,Same,Below,Above,Same,Same,Same,Above
412,Adventist Health Sonora,Sonora,CA,Church,3,Below,Above,Above,Below,Same,Below,Same
413,Adventist Health Lodi Memorial,Lodi,CA,Unknown,2,Below,Same,Below,Below,Same,Below,Same
414,Pioneers Memorial Healthcare District,Brawley,CA,Government,2,Same,Below,Below,Below,Same,Below,Same
415,University Of California Irvine Med Center,Orange,CA,Government,3,Same,Above,Same,Same,Same,Below,Below
416,Beverly Hospital,Montebello,CA,Private,2,Above,Below,Below,Below,Same,Below,Same
417,Torrance Memorial Medical Center,Torrance,CA,Unknown,4,Same,Above,Below,Above,Same,Same,Same
418,Barton Memorial Hospital,South Lake Tahoe,CA,Private,4,Same,Above,Above,Above,Same,Same,Below
419,Providence Little Company Of Mary Med Ctr Torrance,Torrance,CA,Church,4,Above,Above,Above,Same,Same,Below,Same
420,Goleta Valley Cottage Hospital,Santa Barbara,CA,Unknown,5,,Above,Above,Above,Same,Same,
421,Marin General Hospital,Greenbrae,CA,Government,3,Same,Above,Same,Below,Same,Below,Same
422,Northbay Medical Center,Fairfield,CA,Unknown,2,Same,Below,Below,Same,Same,Below,Above
423,Lac+usc Medical Center,Los Angeles,CA,Government,1,Same,Below,Below,Below,Same,Below,
424,Lac/harbor-ucla Med Center,Torrance,CA,Government,2,Same,Below,Below,Same,Same,Below,
425,Pacifica Hospital Of The Valley,Sun Valley,CA,Proprietary,2,Same,Same,Same,Below,Same,Below,
426,Good Samaritan Hospital,San Jose,CA,Proprietary,2,Same,Same,Below,Below,Same,Same,Above
427,Citrus Valley Medical Center-ic Campus,Covina,CA,Proprietary,2,Above,Below,Below,Below,Below,Below,Below
428,Hemet Valley Medical Center,Hemet,CA,Unknown,1,Same,Below,Below,Below,Same,Below,Below
429,Pih Hospital - Downey,Downey,CA,Private,3,Above,Same,Below,Below,Same,Below,Same
430,Community Memorial Hospital San Buenaventura,Ventura,CA,Private,2,Same,Below,Above,Below,Same,Below,Same
431,Santa Barbara Cottage Hospital,Santa Barbara,CA,Private,5,Same,Above,Above,Above,Same,Below,Above
432,Coalinga Regional Medical Center,Coalinga,CA,Government,-1,,,,,Same,Same,
433,Chinese Hospital,San Francisco,CA,Private,5,Same,,Above,Same,Same,Same,Same
434,Kaiser Foundation Hospital - South Bay,Harbor City,CA,Unknown,4,,Same,,Above,Same,,
435,Mercy Hospital Of Folsom,Folsom,CA,Private,3,Same,Above,Below,Same,Above,Below,Above
436,Sutter Coast Hospital,Crescent City,CA,Government,3,Same,Above,Above,Below,Same,Below,Below
437,Palo Verde Hospital,Blythe,CA,Government,2,,,Same,,Below,Below,
438,Scripps Green Hospital,La Jolla,CA,Unknown,5,Same,Above,Above,Above,Same,,Below
439,Kaiser Foundation Hospital - Sacramento,Sacramento,CA,Private,2,Same,Below,Below,Below,Same,,
440,West Anaheim Medical Center,Anaheim,CA,Proprietary,3,Same,Above,Above,Below,Same,Below,Same
441,Huntington Memorial Hospital,Pasadena,CA,Unknown,4,Above,Same,Below,Above,Below,Below,Above
442,Stanford Health Care,Stanford,CA,Private,4,Above,Below,Above,Above,Same,Below,Same
443,Mercy Medical Center,Merced,CA,Private,1,Same,Below,Below,Below,Above,Below,Same
444,Ucsf Medical Center,San Francisco,CA,Unknown,4,Above,Below,Below,Above,Same,Below,Below
445,Adventist Health Bakersfield,Bakersfield,CA,Private,2,Below,Above,Above,Below,Same,Below,Below
446,St Mary's Medical Center,San Francisco,CA,Private,2,Same,Below,Above,Same,Same,Below,Same
447,Doctors Medical Center,Modesto,CA,Proprietary,1,Below,Below,Below,Below,Above,Same,Same
448,Memorial Hospital Of Gardena,Gardena,CA,Proprietary,1,Same,Below,Below,Below,Below,Same,
449,Good Samaritan Hospital,Los Angeles,CA,Proprietary,3,Above,Below,Below,Below,Same,Below,Same
450,West Hills Hospital & Medical Center,West Hills,CA,Proprietary,2,Same,Above,Below,Below,Same,Below,Same
451,Long Beach Memorial Medical Center,Long Beach,CA,Unknown,2,Same,Below,Above,Below,Below,Below,Same
452,Eden Medical Center,Castro Valley,CA,Unknown,3,Same,Below,Above,Same,Same,Below,Same
453,Clovis Community Medical Center,Clovis,CA,Private,3,Below,Above,Above,Same,Same,Below,Above
454,John Muir Medical Center - Concord Campus,Concord,CA,Private,5,Above,Above,Above,Same,Same,Same,Same
455,Sutter Auburn Faith Hospital,Auburn,CA,Unknown,4,Below,Above,Above,Above,Same,Same,Same
456,Saint Vincent Medical Center,Los Angeles,CA,Church,4,Above,Above,Below,Below,Same,Same,Same
457,Scripps Memorial Hospital - Encinitas,Encinitas,CA,Private,4,Above,Same,Above,Same,Same,Below,Same
458,Sierra Vista Regional Medical Center,San Luis Obispo,CA,Proprietary,4,Same,Above,Above,Below,Same,Same,Same
459,Kaiser Foundation Hospital,San Rafael,CA,Unknown,4,,Same,,Same,Same,,
460,Kaiser Foundation Hospital - Fremont,Fremont,CA,Unknown,3,,Same,,Same,Same,,
461,Kaiser Foundation Hospital - Zion,San Diego,CA,Private,4,,Above,,Above,Same,,
462,Mercy San Juan Medical Center,Carmichael,CA,Unknown,2,Below,Below,Above,Below,Same,Below,Above
463,Victor Valley Global Medical Center,Victorville,CA,Private,1,Same,Below,Below,Below,Below,Below,
464,Sutter Delta Medical Center,Antioch,CA,Private,2,Same,Above,Same,Below,Same,Below,Same
465,Huntington Beach Hospital,Huntington Beach,CA,Proprietary,2,Same,,Same,Below,Same,Same,
466,Memorial Hospital Los Banos,Los Banos,CA,Private,4,Same,,Above,Same,Same,Same,Same
467,John F Kennedy Memorial Hospital,Indio,CA,Proprietary,2,Same,Above,Below,Below,Same,Below,Same
468,Sutter Davis Hospital,Davis,CA,Private,4,Same,Above,Above,Above,Same,Same,Same
469,Kaiser Foundation Hospital - Redwood City,Redwood City,CA,Unknown,4,,Same,,Above,Same,,
470,College Hospital Costa Mesa,Costa Mesa,CA,Proprietary,-1,,,,,Same,,
471,Porterville Developmental Center,Porterville,CA,Government,-1,,,,,,,
472,Sonoma Developmental Center,Eldridge,CA,Government,-1,,,,,,,
473,Fairview Developmental Center,Costa Mesa,CA,Government,-1,,,,,,,
474,Los Robles Hospital & Medical Center,Thousand Oaks,CA,Proprietary,2,Same,Above,Below,Below,Same,Below,Same
475,Los Alamitos Medical Center,Los Alamitos,CA,Proprietary,3,Same,Same,Above,Below,Same,Below,Same
476,Memorial Medical Center,Modesto,CA,Private,3,Below,Below,Above,Below,Above,Below,Above
477,Kaiser Foundation Hospital - West La,Los Angeles,CA,Private,2,,Below,,Same,Same,,
478,Mission Hospital Regional Med Center,Mission Viejo,CA,Private,2,Same,Below,Above,Above,Same,Below,Below
479,Madera Community Hospital,Madera,CA,Unknown,1,Same,Below,Below,Below,Below,Below,Same
480,Fountain Valley Regional Hospital & Medical Center,Fountain Valley,CA,Proprietary,3,Above,Above,Above,Below,Same,Same,Same
481,Eisenhower Medical Center,Rancho Mirage,CA,Proprietary,5,Same,Above,Above,Same,Below,Below,Below
482,La Palma Intercommunity Hospital,La Palma,CA,Proprietary,3,Above,Above,Below,Below,Same,Same,
483,Lakewood Regional Medical Center,Lakewood,CA,Proprietary,2,Same,Below,Below,Below,Below,Below,Same
484,Chino Valley Medical Center,Chino,CA,Proprietary,5,Same,,Above,Below,Same,Above,
485,San Dimas Community Hospital,San Dimas,CA,Proprietary,3,Same,Above,Below,Below,Same,Above,
486,Placentia Linda Hospital,Placentia,CA,Proprietary,3,Same,Above,Above,Below,Same,Above,Same
487,Methodist Hospital Of Sacramento,Sacramento,CA,Unknown,3,Same,Above,Below,Below,Same,Below,Above
488,Foothill Presbyterian Hospital,Glendora,CA,Private,2,Same,Below,Below,Below,Same,Below,
489,University Of California Davis Medical Center,Sacramento,CA,Unknown,3,Above,Below,Below,Same,Below,Below,Same
490,Memorialcare Saddleback Medical Center,Laguna Hills,CA,Private,4,Same,Below,Above,Below,Same,Below,Below
491,Kaiser Foundation Hospital-san Jose,San Jose,CA,Unknown,4,Same,Above,Above,Below,Same,,
492,Delano Regional Medical Center,Delano,CA,Proprietary,2,Same,Same,Same,Below,Same,Same,Below
493,Kaiser Foundation Hospital - Orange County - Anahe,Anaheim,CA,Unknown,4,,Same,,Above,Same,,
